city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,nearest_region_idx,dist_km_nearest_region,access_score,nearest_provider,nearest_region,nearest_location_name,nearest_lat,nearest_lon,openalex_match_km,openalex_geo_city,openalex_ai_works_recent,openalex_ai_institution_count,openalex_lat,openalex_lon,openalex_match_ok,log_ai_works,ai_works_per_million,log_ai_works_per_million
Las Condes,Las Condes,-33.4167,-70.5833,Chile,CL,CHL,Región Metropolitana,,249893.0,1152858037,100,6.657750247648373,99.66766594379793,gcp,southamerica-west1,"Santiago, Chile, South America",-33.4377756,-70.6504502,2.775179406393322,Santiago,1,1,-33.42711639404297,-70.6104736328125,True,0.6931471805599453,4.001712733049745,1.6097804003883538
Beijing,Beijing,39.905,116.3914,China,CN,CHN,Beijing,primary,19433000.0,1156228865,12,0.13573912687136322,99.9932132739651,aws,cn-north-1,China (Beijing),39.906217,116.3912757,3.038798302098813,Beijing,3387,18,39.93225090874566,116.38871626559788,True,8.127995055771946,174.29115422219937,5.1664483298565065
Shenzhen,Shenzhen,22.535,114.054,China,CN,CHN,Guangdong,minor,15929000.0,1156158707,1,30.550959495336876,98.48405985907084,aws,ap-east-1,Asia Pacific (Hong Kong),22.2793278,114.1628131,1.8788720022265293,Shenzhen,978,2,22.54553992797852,114.06829916992189,True,6.88653164253051,61.397451189654085,4.133524428221502
Hangzhou,Hangzhou,30.25,120.1675,China,CN,CHN,Zhejiang,admin,6446000.0,1156275243,76,687.5770015005234,70.90788818429094,gcp,asia-east1,"Changhua County, Taiwan, APAC",24.0755667,120.5444667,4.450265818327494,Hangzhou,555,3,30.28853745218913,120.15499532633464,True,6.320768294250582,86.09990691901955,4.467055815189913
Ürümqi,Urumqi,43.8225,87.6125,China,CN,CHN,Xinjiang,admin,3112559.0,1156051276,13,1705.7630533555507,42.61850971716597,aws,cn-northwest-1,China (Ningxia),37.3095528,105.96085530747736,2.582700080569619,Ürümqi,443,2,43.80096054077149,87.60045623779297,True,6.095824562432225,142.32661935083,4.965126077183995
Jinan,Jinan,36.6667,116.9833,China,CN,CHN,Shandong,admin,7967400.0,1156972469,12,363.9026895134358,83.36419004784754,aws,cn-north-1,China (Beijing),39.906217,116.3912757,5.223357531286615,Jinan,271,2,36.667497634887695,117.04185485839844,True,5.605802066295998,34.01360544217687,3.555736712874018
Guangzhou,Guangzhou,23.1288,113.259,China,CN,CHN,Guangdong,admin,20902000.0,1156237133,1,132.35325701532778,93.59655314957533,aws,ap-east-1,Asia Pacific (Hong Kong),22.2793278,114.1628131,1.6328297244393832,Guangzhou,236,1,23.116670608520508,113.25,True,5.4680601411351315,11.290785570758779,2.508849841043623
Hohhot,Hohhot,40.8151,111.6629,China,CN,CHN,Inner Mongolia,admin,2635000.0,1156210167,12,413.12094160483446,81.33770744054287,aws,cn-north-1,China (Beijing),39.906217,116.3912757,1.0308421995408223,Hohhot,192,1,40.8105583190918,111.6522216796875,True,5.262690188904886,72.865275142315,4.302242827701515
Shanghai,Shanghai,31.1667,121.4667,China,CN,CHN,Shanghai,admin,22120000.0,1156073548,76,793.7047997479217,67.24332695436077,gcp,asia-east1,"Changhua County, Taiwan, APAC",24.0755667,120.5444667,4.650798623769227,Shanghai,170,3,31.202277501424152,121.44099426269533,True,5.14166355650266,7.685352622061482,2.1616380001424895
Quzhou,Quzhou,28.9545,118.8763,China,CN,CHN,Zhejiang,,2185000.0,1156180376,76,567.3104172938154,75.3026236886185,gcp,asia-east1,"Changhua County, Taiwan, APAC",24.0755667,120.5444667,3.219085258587394,Quzhou,149,1,28.982589721679688,118.86829376220705,True,5.0106352940962555,68.19221967963388,4.236888423927398
