slug,city,country,event_year,cohort_label,treated_city,n_inst,ids,url
edinburgh_gb,Edinburgh,GB,,Never treated,0,1,I98677209,https://r.jina.ai/http%3A//api.openalex.org/works?filter=institutions.id%3AI98677209%2Ctopics.id%3AT10181%7CT12254%7CT10320%2Cfrom_publication_date%3A2000-01-01&group_by=publication_year&per-page=200
cambridge_gb,Cambridge,GB,,Never treated,0,3,I4210164937|I1303153112|I4210135132,https://r.jina.ai/http%3A//api.openalex.org/works?filter=institutions.id%3AI4210164937%7CI1303153112%7CI4210135132%2Ctopics.id%3AT10181%7CT12254%7CT10320%2Cfrom_publication_date%3A2000-01-01&group_by=publication_year&per-page=200
bordeaux_fr,Bordeaux,FR,,Never treated,0,1,I4210160189,https://r.jina.ai/http%3A//api.openalex.org/works?filter=institutions.id%3AI4210160189%2Ctopics.id%3AT10181%7CT12254%7CT10320%2Cfrom_publication_date%3A2000-01-01&group_by=publication_year&per-page=200
nancy_fr,Nancy,FR,,Never treated,0,2,I4210121838|I4210121906,https://r.jina.ai/http%3A//api.openalex.org/works?filter=institutions.id%3AI4210121838%7CI4210121906%2Ctopics.id%3AT10181%7CT12254%7CT10320%2Cfrom_publication_date%3A2000-01-01&group_by=publication_year&per-page=200
nomi_shi_jp,Nomi Shi,JP,,Never treated,0,1,I177738480,https://r.jina.ai/http%3A//api.openalex.org/works?filter=institutions.id%3AI177738480%2Ctopics.id%3AT10181%7CT12254%7CT10320%2Cfrom_publication_date%3A2000-01-01&group_by=publication_year&per-page=200
fukushima_jp,Fukushima,JP,,Never treated,0,1,I141591182,https://r.jina.ai/http%3A//api.openalex.org/works?filter=institutions.id%3AI141591182%2Ctopics.id%3AT10181%7CT12254%7CT10320%2Cfrom_publication_date%3A2000-01-01&group_by=publication_year&per-page=200
daejeon_kr,Daejeon,KR,,Never treated,0,1,I878022262,https://r.jina.ai/http%3A//api.openalex.org/works?filter=institutions.id%3AI878022262%2Ctopics.id%3AT10181%7CT12254%7CT10320%2Cfrom_publication_date%3A2000-01-01&group_by=publication_year&per-page=200
pune_in,Pune,IN,,Never treated,0,3,I55215948|I188963388|I1331500379,https://r.jina.ai/http%3A//api.openalex.org/works?filter=institutions.id%3AI55215948%7CI188963388%7CI1331500379%2Ctopics.id%3AT10181%7CT12254%7CT10320%2Cfrom_publication_date%3A2000-01-01&group_by=publication_year&per-page=200
bengaluru_in,Bengaluru,IN,,Never treated,0,3,I196608512|I4210148697|I4210124949,https://r.jina.ai/http%3A//api.openalex.org/works?filter=institutions.id%3AI196608512%7CI4210148697%7CI4210124949%2Ctopics.id%3AT10181%7CT12254%7CT10320%2Cfrom_publication_date%3A2000-01-01&group_by=publication_year&per-page=200
lausanne_ch,Lausanne,CH,,Never treated,0,1,I12708293,https://r.jina.ai/http%3A//api.openalex.org/works?filter=institutions.id%3AI12708293%2Ctopics.id%3AT10181%7CT12254%7CT10320%2Cfrom_publication_date%3A2000-01-01&group_by=publication_year&per-page=200
