institution_id,institution_name,country_code,geo_city,geo_region,geo_country_code,geo_lat,geo_lon,works_count_total,ai_works_count_recent
I81556334,Amrita Vishwa Vidyapeetham,IN,Coimbatore,Tamil Nadu,IN,11.00555,76.96612,31930,364
I42934936,Dublin City University,IE,Dublin,,IE,53.33306121826172,-6.248889923095703,31766,179
I177802217,University of Mannheim,DE,Mannheim,,DE,49.483924865722656,8.462201118469238,31758,102
I176601375,Khalifa University of Science and Technology,AE,Abu Dhabi,,AE,24.447925567626953,54.39486312866211,31757,87
I11019714,Universidade da Coruña,ES,A Coruña,,ES,43.3713493347168,-8.395999908447266,31565,87
I164936912,The University of Texas at El Paso,US,El Paso,,US,31.75872039794922,-106.48693084716797,31553,104
I3006985408,Jožef Stefan Institute,SI,Ljubljana,,SI,46.05107879638672,14.50512981414795,30840,148
I87673952,Erciyes University,TR,Kayseri,,TR,38.73221969604492,35.48527908325195,29772,41
I207014233,Kyushu Institute of Technology,JP,Kitakyushu,,JP,33.851810455322266,130.850341796875,29708,106
I197854408,University of Malta,MT,Msida,L-Imsida,MT,35.8925,14.48278,29436,60
I4210152422,Université Toulouse - Jean Jaurès,FR,Toulouse,Occitanie,FR,43.60426,1.44367,27421,197
I123565023,Vietnam National University Ho Chi Minh City,VN,Ho Chi Minh City,,VN,10.823019981384277,106.62964630126953,26149,279
I152518017,University of Nis,RS,Niš,Central Serbia,RS,43.32472,21.90333,25104,104
I147962203,Democritus University of Thrace,GR,Komotini,,GR,41.119171142578125,25.405349731445312,24937,60
I58077936,Romanian Academy,RO,Bucharest,București,RO,44.43225,26.10626,24562,83
I4405392,Boğaziçi University,TR,Istanbul,,TR,41.01383972167969,28.94965934753418,23782,92
I134161618,National Taiwan Normal University,TW,Taipei,,TW,25.026159286499023,121.52802276611328,23419,68
I145897649,Minzu University of China,CN,Beijing,,CN,39.907501220703125,116.39723205566406,22785,296
I66943878,De Montfort University,GB,Leicester,England,GB,52.6386,-1.13169,22616,28
I6498739,Indian Statistical Institute,IN,Kolkata,,IN,22.56262969970703,88.363037109375,22573,116
I2722730,Inner Mongolia University,CN,Hohhot,,CN,40.8105583190918,111.6522216796875,22354,192
I75917431,Nara Institute of Science and Technology,JP,Ikoma,,JP,34.68333053588867,135.6999969482422,21926,189
I134446601,Berkeley College,US,New York,New York,US,40.71427,-74.00597,21507,115
I142208455,VSB - Technical University of Ostrava,CZ,Ostrava,Moravskoslezský,CZ,49.83465,18.28204,21495,78
I138164181,Alexandru Ioan Cuza University,RO,Iasi,,RO,47.16667175292969,27.600000381469727,21346,35
I80543232,K.N.Toosi University of Technology,IR,Tehran,,IR,35.74806213378906,51.44424819946289,21157,47
I4210164937,Microsoft Research (United Kingdom),GB,Cambridge,,GB,52.19491958618164,0.13490499556064606,20852,360
I197604219,"National Academies of Sciences, Engineering, and Medicine",US,Washington,,US,38.895111083984375,-77.03636932373047,20270,12
I4210090124,Tecnológico Nacional de México,MX,Mexico City,Mexico City,MX,19.42847,-99.12766,20216,124
I4210099336,Menlo School,US,Atherton,California,US,37.46133,-122.19774,20191,45
I1298353152,SRI International,US,Menlo Park,,US,37.45383071899414,-122.18218994140625,19966,26
I71637028,University of Brighton,GB,Brighton,,GB,50.8283805847168,-0.13946999609470367,19264,15
I65181880,Indian Institute of Technology Hyderabad,IN,Sangāreddi,Telangana,IN,17.62477,78.08669,19066,164
I90023481,National Institute of Information and Communications Technology,JP,Tokyo,,JP,35.68949890136719,139.69171142578125,18004,137
I4210147444,Institut des Hautes Études du Ministère de l'Intérieur,FR,Paris,,FR,48.85259246826172,2.3034679889678955,17977,0
I4210090176,Institute of Computing Technology,CN,Beijing,,CN,39.907501220703125,116.39723205566406,17854,352
I130294970,Częstochowa University of Technology,PL,Częstochowa,Silesia,PL,50.79646,19.12409,17825,54
I4210109586,Moscow Institute of Thermal Technology,RU,Moscow,,RU,55.75874710083008,37.61050033569336,17616,76
I16656306,Meiji University,JP,Tokyo,,JP,35.68949890136719,139.69171142578125,17526,43
I121345201,Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento,PT,Lisbon,,PT,38.73680877685547,-9.140382766723633,17510,131
I177738480,Japan Advanced Institute of Science and Technology,JP,Nomi Shi,,JP,36.43592834472656,136.5445556640625,17382,134
I193073490,Siksha O Anusandhan University,IN,Bhubaneswar,Orissa,IN,20.259199142456055,85.79199981689453,17061,143
I3131550300,Université Toulouse-I-Capitole,FR,Toulouse,Occitanie,FR,43.60426,1.44367,16948,159
I102475099,Supélec,FR,Gif-sur-Yvette,,FR,48.68333053588867,2.1333301067352295,16900,36
I99908691,Yuan Ze University,TW,Taoyuan District,,TW,24.96971893310547,121.26747131347656,16852,106
I4210094879,Shandong Institute of Automation,CN,Jinan,,CN,36.668331146240234,116.99722290039062,16811,229
I75357094,National Yunlin University of Science and Technology,TW,Douliu,,TW,23.69196128845215,120.53459930419922,16125,79
I4210119061,Institut de Recherche en Informatique de Toulouse,FR,Toulouse,Occitanie,FR,43.60426,1.44367,15609,184
I204291657,Hosei University,JP,Tokyo,,JP,35.695556640625,139.74139404296875,15493,37
I122991210,"Istituto di Scienza e Tecnologie dell'Informazione ""Alessandro Faedo""",IT,Pisa,Tuscany,IT,43.70853,10.4036,15309,68
I119664326,University of Wolverhampton,GB,Wolverhampton,,GB,52.58546829223633,-2.122960090637207,15236,86
I4210102571,Cebu Doctors' University,PH,Cebu City,,PH,10.320239067077637,123.93303680419922,15146,0
I4210108695,Gheorghe Asachi Technical University of Iași,RO,Iasi,,RO,47.16667175292969,27.600000381469727,15090,37
I4210130445,Max Planck Institute for Human Cognitive and Brain Sciences,DE,Leipzig,,DE,51.33573532104492,12.388835906982422,15023,32
I4210128818,Institute of Software,CN,Beijing,,CN,39.907501220703125,116.39723205566406,14926,201
I4210106477,Shanghai Institutes for Biological Sciences,CN,Shanghai,,CN,31.222219467163086,121.45806121826172,14835,20
I79516672,University of Louisiana at Lafayette,US,Lafayette,,US,30.224090576171875,-92.01983642578125,14616,58
I98298690,I-Shou University,TW,Kaohsiung City,,TW,22.72960090637207,120.40789794921875,14371,14
I4210088692,VMK (Czechia),CZ,Prosek,,CZ,50.11692810058594,14.494235038757324,14370,0
I12708293,SIB Swiss Institute of Bioinformatics,CH,Lausanne,Vaud,CH,46.516,6.63282,14355,131
I102516824,Université de Technologie de Compiègne,FR,Compiègne,Hauts-de-France,FR,49.41794,2.82606,14184,24
I177605424,Amherst College,US,Amherst Center,,US,42.375370025634766,-72.51924896240234,14148,34
I177233841,"Vietnam National University, Hanoi",VN,Hanoi,An Giang Province,VN,21.0245,105.84117,14017,76
I4210164975,Childrens Brittle Bone Foundation,US,Pleasant Prairie,Wisconsin,US,42.532867431640625,-87.89959716796875,13791,0
I152815399,Singapore University of Technology and Design,SG,Singapore,SG.01,SG,1.28967,103.85007,13672,145
I2250955327,Huawei Technologies (China),CN,Shenzhen,,CN,22.54553985595703,114.06829833984375,13644,352
I4210112150,Institute of Automation,CN,Beijing,,CN,39.907501220703125,116.39723205566406,13557,245
I3122695212,Polytechnic University of Timişoara,RO,Timișoara,,RO,45.753719329833984,21.225709915161133,13550,35
I4210118560,Max Planck Institute for Evolutionary Anthropology,DE,Leipzig,,DE,51.320556640625,12.394444465637207,13512,77
I165522056,Tokyo Denki University,JP,Tokyo,,JP,35.68949890136719,139.69171142578125,13431,31
I181063083,Abdul Wali Khan University Mardan,PK,Mardan,,PK,34.19080352783203,72.03687286376953,13365,105
I92715842,University of West Bohemia in Pilsen,CZ,Pilsen,Plzeň Region,CZ,49.74747,13.37759,13341,74
I4210108985,Bellevue Hospital Center,US,New York,,US,40.714271545410156,-74.00596618652344,13248,75
I79161377,Punjabi University,IN,Patiāla,Punjab,IN,30.359724044799805,76.45423126220703,13225,53
I35777872,North Carolina Agricultural and Technical State University,US,Greensboro,,US,36.07263946533203,-79.79197692871094,13197,40
I1303153112,European Bioinformatics Institute,GB,Cambridge,England,GB,52.2,0.11667,13118,103
I868834043,University of the West of Scotland,GB,Paisley,,GB,55.831729888916016,-4.432539939880371,13008,7
I4210156404,Institute of Information Engineering,CN,Beijing,,CN,39.907501220703125,116.39723205566406,12995,280
I3005327000,Institute for Infocomm Research,SG,Singapore,,SG,1.3038229942321777,103.78490447998047,12687,142
I4210112925,Max Planck Institute for Biological Cybernetics,DE,Tübingen,,DE,48.53666687011719,9.058889389038086,12687,23
I3133055985,Westlake University,CN,Hangzhou,,CN,30.293649673461914,120.16142272949219,12428,210
I184597095,National Institute of Informatics,JP,Tokyo,,JP,35.68949890136719,139.69171142578125,12144,145
I1333535994,University of North Carolina Health Care,US,Chapel Hill,North Carolina,US,35.90378189086914,-79.04779815673828,12045,74
I31151848,Technical University of Sofia,BG,Sofia,,BG,42.697509765625,23.32415008544922,11849,90
I39824353,"National Institute of Astrophysics, Optics and Electronics",MX,Puebla City,,MX,19.03792953491211,-98.20346069335938,11775,49
I83467386,IT University of Copenhagen,DK,Copenhagen,,DK,55.675941467285156,12.565529823303223,11688,113
I186272606,Guangdong University of Foreign Studies,CN,Guangzhou,,CN,23.116670608520508,113.25,11603,236
I2799803557,Barcelona Supercomputing Center,ES,Barcelona,Catalonia,ES,41.38879,2.15899,11464,170
I1311688040,Amazon (United States),US,Seattle,Washington,US,47.60621,-122.33207,11389,477
I4210115519,Centre de Recherche en Informatique,FR,Fontainebleau,Île-de-France,FR,48.40908,2.70177,11248,73
I55741626,Technical University of Crete,GR,Chania,,GR,35.51123809814453,24.02920913696289,11206,20
I186354981,University of Passau,DE,Passau,,DE,48.56650161743164,13.431220054626465,11058,60
I87354575,National Chengchi University,TW,Taipei,,TW,25.047760009765625,121.53185272216797,11014,41
I4210116219,Engineering Systems (United States),US,Omaha,Nebraska,US,41.2642822265625,-96.1151123046875,10836,4
I8679417,Hong Kong Metropolitan University,HK,Hong Kong,,HK,22.27832,114.17469,10792,29
I15196421,University of Applied Sciences and Arts of Southern Switzerland,CH,Manno,Ticino,CH,46.02885,8.91824,10750,63
I4210101743,"Laboratoire d'Informatique, de Robotique et de Microélectronique de Montpellier",FR,Montpellier,Occitanie,FR,43.61093,3.87635,10692,53
I4210107146,Ospedali Riuniti di Ancona,IT,Ancona,,IT,43.60200881958008,13.462653160095215,10664,0
I187293425,University of Ostrava,CZ,Ostrava,,CZ,49.83464813232422,18.282039642333984,10649,50
I173498003,Palo Alto Research Center,US,Palo Alto,California,US,37.40271759033203,-122.14799499511719,10644,6
