model,n_obs,coef_post_full,se_post_full,p_post_full,ci_low,ci_high,r2
TWFE baseline,676,0.1941416687520415,0.29086246236994445,0.5044726225304622,-0.37594875749304957,0.7642320949971326,0.7977895062320797
TWFE + city trends,676,-0.11754782237649009,0.2789503520524003,0.673467876821155,-0.6642905123991947,0.4291948676462145,0.8974780824950275
City FE + country-year FE,676,0.5735829563241313,0.2327962819290967,0.013744071272619882,0.11730224374310172,1.0298636689051608,0.8956317501344475
