event_year,n_treated_cities,coef_post,se_post,p_post,ci_low,ci_high
2009,2,0.31214148966791216,0.3828105952361446,0.4148467770547528,-0.43816727699493124,1.0624502563307556
2011,1,-0.22264324576491074,0.0961743989602347,0.02061320966273888,-0.4111450677269708,-0.03414142380285071
2016,2,0.567414290935145,0.2593818048588289,0.02870137870213839,0.05902595341184036,1.0758026284584497
2017,2,-0.3753764820734663,0.16866970207706405,0.026046872120736083,-0.7059690981445119,-0.044783866002420736
2018,2,-0.2561897766255353,0.34038738935846463,0.45166519348757317,-0.923349059768126,0.4109695065170553
2022,4,-0.000884163165973502,0.16801453464135,0.9958012151459363,-0.3301926510630195,0.32842432473107247
