grid,grid_size,n,rule,type_I,inflation,mean_corr,bonferroni_bound,mc_se
coarse,4,200,union,0.12135,2.427,0.5461120069148659,0.18549375000000012,0.002308941072223369
coarse,4,200,argmax,0.09475,1.895,0.5461120069148659,0.18549375000000012,0.0020708988084887203
coarse,4,200,first_sig,0.12135,2.427,0.5461120069148659,0.18549375000000012,0.002308941072223369
coarse,4,200,majority,0.02105,0.421,0.5461120069148659,0.18549375000000012,0.0010150590500064515
coarse,4,500,union,0.12325,2.465,0.5700115050786504,0.18549375000000012,0.0023244293654572515
coarse,4,500,argmax,0.0996,1.9919999999999998,0.5700115050786504,0.18549375000000012,0.0021175438602305265
coarse,4,500,first_sig,0.12325,2.465,0.5700115050786504,0.18549375000000012,0.0023244293654572515
coarse,4,500,majority,0.02005,0.40099999999999997,0.5700115050786504,0.18549375000000012,0.000991160872411739
coarse,4,1000,union,0.1244,2.488,0.5759308173727177,0.18549375000000012,0.0023337163495163677
coarse,4,1000,argmax,0.0998,1.996,0.5759308173727177,0.18549375000000012,0.002119433414854074
coarse,4,1000,first_sig,0.1244,2.488,0.5759308173727177,0.18549375000000012,0.0023337163495163677
coarse,4,1000,majority,0.01945,0.38899999999999996,0.5759308173727177,0.18549375000000012,0.0009765167049262393
fine,7,200,union,0.1299,2.5979999999999994,0.696833241269113,0.3016627039062503,0.002377246200964469
fine,7,200,argmax,0.1083,2.166,0.696833241269113,0.3016627039062503,0.0021973974378796386
fine,7,200,first_sig,0.1299,2.5979999999999994,0.696833241269113,0.3016627039062503,0.002377246200964469
fine,7,200,majority,0.0365,0.7299999999999999,0.696833241269113,0.3016627039062503,0.0013260420430740497
fine,7,500,union,0.1348,2.6959999999999997,0.7133132473996036,0.3016627039062503,0.002414839125076451
fine,7,500,argmax,0.11305,2.2609999999999997,0.7133132473996036,0.3016627039062503,0.0022390812568998026
fine,7,500,first_sig,0.1348,2.6959999999999997,0.7133132473996036,0.3016627039062503,0.002414839125076451
fine,7,500,majority,0.03655,0.731,0.7133132473996036,0.3016627039062503,0.0013269155493097517
fine,7,1000,union,0.1333,2.666,0.7315819231712302,0.3016627039062503,0.0024034465877152337
fine,7,1000,argmax,0.1121,2.242,0.7315819231712302,0.3016627039062503,0.002230847260571642
fine,7,1000,first_sig,0.1333,2.666,0.7315819231712302,0.3016627039062503,0.0024034465877152337
fine,7,1000,majority,0.03605,0.721,0.7315819231712302,0.3016627039062503,0.001318150171642063
wide,9,200,union,0.18225,3.6449999999999996,0.5124651700985721,0.3697505902753909,0.002729788796775311
wide,9,200,argmax,0.12775,2.5549999999999997,0.5124651700985721,0.3697505902753909,0.0023604018460846874
wide,9,200,first_sig,0.18225,3.6449999999999996,0.5124651700985721,0.3697505902753909,0.002729788796775311
wide,9,200,majority,0.02555,0.511,0.5124651700985721,0.3697505902753909,0.0011157328869402388
wide,9,500,union,0.18735,3.7469999999999994,0.5403572570244836,0.3697505902753909,0.0027590757283916657
wide,9,500,argmax,0.13025,2.605,0.5403572570244836,0.3697505902753909,0.002379967830664944
wide,9,500,first_sig,0.18735,3.7469999999999994,0.5403572570244836,0.3697505902753909,0.0027590757283916657
wide,9,500,majority,0.02445,0.489,0.5403572570244836,0.3697505902753909,0.001092066790539846
wide,9,1000,union,0.1849,3.698,0.5448609451151083,0.3697505902753909,0.002745104642814186
wide,9,1000,argmax,0.12735,2.5469999999999997,0.5448609451151083,0.3697505902753909,0.002357243915041462
wide,9,1000,first_sig,0.1849,3.698,0.5448609451151083,0.3697505902753909,0.002745104642814186
wide,9,1000,majority,0.02585,0.517,0.5448609451151083,0.3697505902753909,0.001122091295305333
narrow,3,200,union,0.0826,1.6520000000000001,0.8296399814118759,0.1426250000000001,0.0019464999357821722
narrow,3,200,argmax,0.07775,1.555,0.8296399814118759,0.1426250000000001,0.0018934748149896264
narrow,3,200,first_sig,0.0826,1.6520000000000001,0.8296399814118759,0.1426250000000001,0.0019464999357821722
narrow,3,200,majority,0.04555,0.9109999999999999,0.8296399814118759,0.1426250000000001,0.0014743676186758851
narrow,3,500,union,0.0836,1.6719999999999997,0.8447440439256665,0.1426250000000001,0.001957179603408946
narrow,3,500,argmax,0.07995,1.5989999999999998,0.8447440439256665,0.1426250000000001,0.0019177851482895575
narrow,3,500,first_sig,0.0836,1.6719999999999997,0.8447440439256665,0.1426250000000001,0.001957179603408946
narrow,3,500,majority,0.04435,0.887,0.8447440439256665,0.1426250000000001,0.0014557313883405826
narrow,3,1000,union,0.08265,1.653,0.8494597942389709,0.1426250000000001,0.0019470359203158014
narrow,3,1000,argmax,0.07945,1.589,0.8494597942389709,0.1426250000000001,0.0019122983226996775
narrow,3,1000,first_sig,0.08265,1.653,0.8494597942389709,0.1426250000000001,0.0019470359203158014
narrow,3,1000,majority,0.0443,0.8859999999999999,0.8494597942389709,0.1426250000000001,0.0014549486245225294
standard,6,200,union,0.1391,2.782,0.5881306029035595,0.2649081093750002,0.0024469490186761144
standard,6,200,argmax,0.10815,2.163,0.5881306029035595,0.2649081093750002,0.002196059852326434
standard,6,200,first_sig,0.1391,2.782,0.5881306029035595,0.2649081093750002,0.0024469490186761144
standard,6,200,majority,0.02515,0.5029999999999999,0.5881306029035595,0.2649081093750002,0.0011071918871631962
standard,6,500,union,0.14375,2.8749999999999996,0.6077607370378796,0.2649081093750002,0.002480785535873667
standard,6,500,argmax,0.11295,2.259,0.6077607370378796,0.2649081093750002,0.0022382168963261803
standard,6,500,first_sig,0.14375,2.8749999999999996,0.6077607370378796,0.2649081093750002,0.002480785535873667
standard,6,500,majority,0.023,0.45999999999999996,0.6077607370378796,0.2649081093750002,0.0010599764148319527
standard,6,1000,union,0.14505,2.9010000000000002,0.6155174216692335,0.2649081093750002,0.002490085314803491
standard,6,1000,argmax,0.1139,2.278,0.6155174216692335,0.2649081093750002,0.0022464059072215777
standard,6,1000,first_sig,0.14505,2.9010000000000002,0.6155174216692335,0.2649081093750002,0.002490085314803491
standard,6,1000,majority,0.0235,0.47,0.6155174216692335,0.2649081093750002,0.0010711617524911913
