model,subset,n_obs,coef_post_full,se_post_full,p_post_full,ci_low,ci_high,r2
TWFE baseline,all,468,-0.3114694617035305,0.2608307312341219,0.23242163073629907,-0.8226976949224095,0.1997587715153485,0.8913960022846315
TWFE + city trends,all,468,0.2627732824218217,0.15095948894999411,0.08173838564962457,-0.03310731592016675,0.5586538807638102,0.9407002461682662
TWFE baseline,multi_country,260,-0.44803858239550215,0.41338033804039287,0.2784352778128889,-1.2582640449546723,0.3621868801636679,0.8579160380225532
TWFE + city trends,multi_country,260,0.21054443205923834,0.1866682047166323,0.2593590676889602,-0.155325249185361,0.5764141133038376,0.9289521182702498
City FE + country-year FE,multi_country,260,-0.10107611431302022,0.3014554204217569,0.7374035180778271,-0.6919287383396637,0.4897765097136233,0.9434524584031804
