city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,nearest_region_idx,dist_km_nearest_region,access_score,nearest_provider,nearest_region,nearest_location_name,nearest_lat,nearest_lon,ai_inst_count,ai_works_recent,geo_city,geo_country_code,top_inst_count,top_inst_ai_works,regions_within_1000,regions_within_1500,providers_within_1000,score_proximity,score_provider_diversity,score_redundancy,score_population,score_institutions,bundle_score,distance_only_score,bundle_gain_vs_distance
Aomori,Aomori,40.8222,140.7475,Japan,JP,JPN,Aomori,admin,271962.0,1392083898,78,577.9352426679083,74.90364578113605,gcp,asia-northeast1,"Tokyo, Japan, APAC",35.6828387,139.7594549,0.0,0.0,,,0.0,0.0,6,10,3,0.9055675035395699,1.0,0.705015029626574,0.2481875225056825,0.0,65.52073842356664,90.556750353957,-25.03601193039036
Little Rock,Little Rock,34.7256,-92.3576,United States,US,USA,Arkansas,admin,439815.0,1840015509,102,314.1154661441273,85.46547155510471,gcp,us-central2,"Mayes County, Oklahoma, North America",36.3047676,-95.2355722,0.0,0.0,,,0.0,0.0,7,17,2,0.9486746862712674,0.6666666666666666,0.8498100620328151,0.321356978242187,0.0,65.51449305497573,94.86746862712674,-29.35297557215101
Rosemead,Rosemead,34.0689,-118.0823,United States,US,USA,California,,54058.0,1840020495,108,14.878286163892298,99.25884588556198,gcp,us-west2,"Los Angeles, California, North America",34.0536909,-118.242766,0.0,0.0,,,0.0,0.0,6,10,3,0.9975689426742291,1.0,0.705015029626574,0.002266587716490103,0.0,65.51198196711512,99.75689426742291,-34.24491230030779
Kouvola,Kouvola,60.8681,26.7042,Finland,FI,FIN,Kymenlaakso,admin,85855.0,1246167296,88,42.42362248546922,97.90115769479551,gcp,europe-north1,"Hamina, Finland, Europe",60.5688901,27.1881877,0.0,0.0,,,0.0,0.0,4,8,3,0.993068135866392,1.0,0.646015014942309,0.07268166952144688,0.0,65.50317570161201,99.3068135866392,-33.803637885027186
Maladzyechna,Maladzyechna,54.3136,26.8517,Belarus,BY,BLR,Minskaya Voblasts’,minor,91063.0,1112822882,87,452.1577305529462,79.76551918877699,gcp,europe-central2,"Warsaw, Poland, Europe",52.2319581,21.0067249,0.0,0.0,,,0.0,0.0,4,15,3,0.9261190871612368,1.0,0.8151801883620247,0.08164591788718159,0.0,65.49715508018757,92.61190871612368,-27.11475363593611
Abington,Abington,40.1108,-75.1146,United States,US,USA,Pennsylvania,,55459.0,1840035369,104,235.4398196526002,88.89450025089427,gcp,us-east4,"Ashburn, Virginia, North America",39.0437192,-77.4874899,0.0,0.0,,,0.0,0.0,13,14,3,0.9615299980091991,1.0,0.7962049529094938,0.006161222169202385,0.0,65.4966925465484,96.15299980091991,-30.656307254371512
Longquan,Longquan,28.0733,119.1277,China,CN,CHN,Zhejiang,,234626.0,1156962780,76,466.4917869499296,79.19588120756804,gcp,asia-east1,"Changhua County, Taiwan, APAC",24.0755667,120.5444667,0.0,0.0,,,0.0,0.0,4,9,3,0.9237769549809546,1.0,0.6769924925288455,0.22570972742545212,0.0,65.49161149855266,92.37769549809546,-26.886083999542805
Hacienda Heights,Hacienda Heights,33.997,-117.9728,United States,US,USA,California,,55188.0,1840017921,108,25.66552850435406,98.7249224577825,gcp,us-west2,"Los Angeles, California, North America",34.0536909,-118.242766,0.0,0.0,,,0.0,0.0,6,10,3,0.9958063468867996,1.0,0.705015029626574,0.005415603093602612,0.0,65.48871336627464,99.58063468867996,-34.09192132240533
Kolpino,Kolpino,59.73,30.65,Russia,RU,RUS,Sankt-Peterburg,,225801.0,1643448070,88,213.06345547253864,89.8946526170462,gcp,europe-north1,"Hamina, Finland, Europe",60.5688901,27.1881877,0.0,0.0,,,0.0,0.0,3,6,3,0.9651862137496972,1.0,0.5721250285404937,0.21987393844731037,0.0,65.48743305480495,96.51862137496971,-31.03118832016476
Newton,Newton,42.3316,-71.2085,United States,US,USA,Massachusetts,,88414.0,1840000433,11,400.134803664909,81.86755709846454,aws,ca-central-1,Canada (Central),45.5031824,-73.5698065,0.0,0.0,,,0.0,0.0,11,14,3,0.9346194423853578,1.0,0.7962049529094938,0.07715232006896684,0.0,65.48513679009122,93.46194423853578,-27.97680744844456
Paramount,Paramount,33.8976,-118.1652,United States,US,USA,California,,53955.0,1840020504,108,18.77251024664785,99.0657658267798,gcp,us-west2,"Los Angeles, California, North America",34.0536909,-118.242766,0.0,0.0,,,0.0,0.0,6,10,3,0.9969326407587873,1.0,0.705015029626574,0.001976287318847864,0.0,65.48217538453281,99.69326407587873,-34.21108869134592
Rancho Cordova,Rancho Cordova,38.574,-121.2523,United States,US,USA,California,,75087.0,1840020248,53,134.53584274346164,93.49446761176272,azure,westus,"California, West US, US",37.783,-122.417,0.0,0.0,,,0.0,0.0,9,10,3,0.9780173373144279,1.0,0.705015029626574,0.05228290457538881,0.0,65.48016250560656,97.80173373144278,-32.32157122583622
Lawrence,Lawrence,42.7003,-71.1626,United States,US,USA,Massachusetts,,80028.0,1840000408,11,366.1310422845402,83.27135936037871,aws,ca-central-1,Canada (Central),45.5031824,-73.5698065,0.0,0.0,,,0.0,0.0,11,14,3,0.9401755321323161,1.0,0.7962049529094938,0.06198346331735613,0.0,65.47984752869539,94.01755321323161,-28.53770568453622
Mukōchō,Mukocho,34.9486,135.6983,Japan,JP,JPN,Kyōto,,56152.0,1392146541,63,33.504319151747374,98.33873775799206,azure,japanwest,"Osaka, Japan West, Asia Pacific",34.6939,135.5022,0.0,0.0,,,0.0,0.0,10,10,3,0.9945255172792352,1.0,0.705015029626574,0.008051468389747964,0.0,65.47701816141424,99.45255172792352,-33.975533566509284
Franklin,Franklin,40.4759,-74.5515,United States,US,USA,New Jersey,,65554.0,1840143542,104,297.2025346604923,86.19127191508873,gcp,us-east4,"Ashburn, Virginia, North America",39.0437192,-77.4874899,0.0,0.0,,,0.0,0.0,13,14,3,0.9514381971710197,1.0,0.7962049529094938,0.03161615189925825,0.0,65.47484445897209,95.14381971710198,-29.66897525812989
Lu’an,Lu'an,31.7542,116.5078,China,CN,CHN,Anhui,minor,6090000.0,1156499624,12,906.52478873162,63.55513466528456,aws,cn-north-1,China (Beijing),39.906217,116.3912757,0.0,0.0,,,0.0,0.0,2,10,2,0.8518771783011315,0.6666666666666666,0.705015029626574,0.7213915151526801,0.0,65.47118530373407,85.18771783011316,-19.716532526379083
Fussa,Fussa,35.7386,139.3267,Japan,JP,JPN,Tōkyō,,56713.0,1392749897,78,39.561254700692864,98.04137256743468,gcp,asia-northeast1,"Tokyo, Japan, APAC",35.6828387,139.7594549,0.0,0.0,,,0.0,0.0,7,10,3,0.9935358362517441,1.0,0.705015029626574,0.00956465956698783,0.0,65.46012878797319,99.35358362517441,-33.89345483720122
Brockton,Brockton,42.0821,-71.0242,United States,US,USA,Massachusetts,,95708.0,1840000467,11,431.75112079294166,80.58355734937453,aws,ca-central-1,Canada (Central),45.5031824,-73.5698065,0.0,0.0,,,0.0,0.0,11,14,3,0.929453452262481,1.0,0.7962049529094938,0.08921870119540083,0.0,65.45949290207265,92.9453452262481,-27.48585232417544
Asahi,Asahi,35.7203,140.6467,Japan,JP,JPN,Chiba,,63507.0,1392803608,44,79.29205160548429,96.11295940222529,azure,japaneast,"Tokyo, Saitama, Japan East, Asia Pacific",35.68,139.77,0.0,0.0,,,0.0,0.0,6,10,3,0.9870439699299014,1.0,0.705015029626574,0.026787267025889835,0.0,65.458793246983,98.70439699299014,-33.245603746007134
El Cajon,El Cajon,32.8017,-116.9605,United States,US,USA,California,,102708.0,1840020618,108,183.137818155381,91.24984345599604,gcp,us-west2,"Los Angeles, California, North America",34.0536909,-118.242766,0.0,0.0,,,0.0,0.0,6,9,3,0.970075952999692,1.0,0.6769924925288455,0.09996333429004778,0.0,65.45737552227108,97.0075952999692,-31.550219777698118
Tonk,Tonk,26.1505,75.79,India,IN,IND,Rājasthān,,181734.0,1356991408,82,311.9764885637493,85.55692481428181,gcp,asia-south2,"Delhi, India APAC",28.6517178,77.2219388,0.0,0.0,,,0.0,0.0,7,8,3,0.9490241873535261,1.0,0.646015014942309,0.1868261783221275,0.0,65.45358539310759,94.90241873535261,-29.448833342245024
Schenectady,Schenectady,42.8025,-73.9276,United States,US,USA,New York,,65273.0,1840000395,11,301.6552479220188,85.99959285749114,aws,ca-central-1,Canada (Central),45.5031824,-73.5698065,0.0,0.0,,,0.0,0.0,12,14,3,0.9507106401745519,1.0,0.7962049529094938,0.030962273018999696,0.0,65.43593399590948,95.07106401745519,-29.635130021545706
Tanjungpinang,Tanjungpinang,0.9188,104.4554,Indonesia,ID,IDN,Kepulauan Riau,admin,203008.0,1360990589,35,80.17459022845429,96.07055705891952,azure,southeastasia,"Singapore, Southeast Asia, Asia Pacific",1.283,103.833,0.0,0.0,,,0.0,0.0,5,5,3,0.9868997663596102,1.0,0.5268025545616606,0.20367675767550078,0.0,65.43318033794183,98.68997663596102,-33.25679629801918
Wuyishan,Wuyishan,27.7562,118.0267,China,CN,CHN,Fujian,minor,238000.0,1156519625,76,480.4885350362406,78.64357368970487,gcp,asia-east1,"Changhua County, Taiwan, APAC",24.0755667,120.5444667,0.0,0.0,,,0.0,0.0,4,9,3,0.9214899377400324,1.0,0.6769924925288455,0.2278830658245358,0.0,65.43273088490203,92.14899377400324,-26.716262889101216
Novato,Novato,38.092,-122.5576,United States,US,USA,California,,55516.0,1840020260,53,36.5047217605112,98.1913204607952,azure,westus,"California, West US, US",37.783,-122.417,0.0,0.0,,,0.0,0.0,7,10,3,0.9940352625105104,1.0,0.705015029626574,0.006317585984127046,0.0,65.43139973458094,99.40352625105105,-33.97212651647011
Redding,Redding,40.5698,-122.365,United States,US,USA,California,,121313.0,1840020141,53,309.91084700583934,85.64533543231607,azure,westus,"California, West US, US",37.783,-122.417,0.0,0.0,,,0.0,0.0,8,10,3,0.9493617055990055,1.0,0.705015029626574,0.12530486719980266,0.0,65.42926667635587,94.93617055990055,-29.50690388354468
Zushi,Zushi,35.2948,139.5781,Japan,JP,JPN,Kanagawa,,56996.0,1392442008,78,46.16652977294215,97.718111551112,gcp,asia-northeast1,"Tokyo, Japan, APAC",35.6828387,139.7594549,0.0,0.0,,,0.0,0.0,7,10,3,0.9924565585596605,1.0,0.705015029626574,0.010322328007391066,0.0,65.4283227068959,99.24565585596605,-33.81733314907015
Burnaby,Burnaby,49.2667,-122.9667,Canada,CA,CAN,British Columbia,,232755.0,1124817304,32,322.9405404172464,85.08918279258708,azure,westus2,"Washington, West US 2, US",47.233,-119.852,0.0,0.0,,,0.0,0.0,3,7,3,0.9472327015409153,1.0,0.6113851412715186,0.22449102538047205,0.0,65.42745056141648,94.72327015409154,-29.29581959267506
Hatsukaichi,Hatsukaichi,34.3486,132.3317,Japan,JP,JPN,Hiroshima,,114699.0,1392723053,79,291.06510022010264,86.4561748035898,gcp,asia-northeast2,"Osaka, Japan, APAC",34.6198813,135.490357,0.0,0.0,,,0.0,0.0,10,10,3,0.9524410314217789,1.0,0.705015029626574,0.11677122368723086,0.0,65.42443505657823,95.24410314217789,-29.81966808559966
Idaho Falls,Idaho Falls,43.4872,-112.0362,United States,US,USA,Idaho,,100442.0,1840018644,109,303.5435279910617,85.91843551689765,gcp,us-west3,"Salt Lake City, Utah, North America",40.7596198,-111.8867975,0.0,0.0,,,0.0,0.0,6,11,3,0.9504021021450781,1.0,0.7305976016521668,0.09656746348152007,0.0,65.42356006280843,95.04021021450781,-29.616650151699375
Perris,Perris,33.7899,-117.2233,United States,US,USA,California,,79291.0,1840020557,108,98.53246752444022,95.1927660676533,gcp,us-west2,"Los Angeles, California, North America",34.0536909,-118.242766,0.0,0.0,,,0.0,0.0,6,9,3,0.9839001566199939,1.0,0.6769924925288455,0.060575173930490674,0.0,65.41952126168981,98.39001566199939,-32.970494400309576
Ōtawara,Otawara,36.8667,140.0167,Japan,JP,JPN,Tochigi,,72923.0,1392953593,78,133.64396910598663,93.53616953473944,gcp,asia-northeast1,"Tokyo, Japan, APAC",35.6828387,139.7594549,0.0,0.0,,,0.0,0.0,6,10,3,0.9781630661918107,1.0,0.705015029626574,0.047831617324350074,0.0,65.41922235193628,97.81630661918108,-32.39708426724479
Diamond Bar,Diamond Bar,33.9991,-117.8161,United States,US,USA,California,,55720.0,1840019244,108,39.785709379042025,98.03037026245369,gcp,us-west2,"Los Angeles, California, North America",34.0536909,-118.242766,0.0,0.0,,,0.0,0.0,6,10,3,0.9934991611815047,1.0,0.705015029626574,0.006875891382005213,0.0,65.41833026238888,99.34991611815047,-33.9315858557616
Union,Union,42.1258,-76.0329,United States,US,USA,New York,,53779.0,1840058557,46,321.4076959163887,85.15442203275929,azure,canadacentral,"Toronto, Canada Central, Canada",43.653,-79.383,0.0,0.0,,,0.0,0.0,13,16,3,0.9474831627037154,1.0,0.8330046822133071,0.0014789551501668045,0.0,65.41658106860072,94.74831627037153,-29.33173520177081
Hailin,Hailin,44.5735,129.3825,China,CN,CHN,Heilongjiang,minor,420000.0,1156267191,3,804.6654677990713,66.87581901460592,aws,ap-northeast-2,Asia Pacific (Seoul),37.5666791,126.9782914,0.0,0.0,,,0.0,0.0,3,11,3,0.8685206173117404,1.0,0.7305976016521668,0.31433985190484237,0.0,65.41488649582476,86.85206173117403,-21.437175235349272
Fukuroi,Fukuroi,34.7503,137.925,Japan,JP,JPN,Shizuoka,,86851.0,1392865065,78,196.2702272516344,90.65264114085704,gcp,asia-northeast1,"Tokyo, Japan, APAC",35.6828387,139.7594549,0.0,0.0,,,0.0,0.0,7,10,3,0.9679301655758725,1.0,0.705015029626574,0.07443735227275887,0.0,65.4089923515249,96.79301655758725,-31.38402420606235
Old Bridge,Old Bridge,40.4004,-74.3126,United States,US,USA,New Jersey,,65782.0,1840081688,104,310.59793244101564,85.61591765445391,gcp,us-east4,"Ashburn, Virginia, North America",39.0437192,-77.4874899,0.0,0.0,,,0.0,0.0,13,14,3,0.9492494383618911,1.0,0.7962049529094938,0.03214464488665177,0.0,65.39522150141784,94.92494383618912,-29.52972233477128
Norwalk,Norwalk,41.1144,-73.4215,United States,US,USA,Connecticut,,88816.0,1840004839,104,415.4860203115924,81.2415792494674,gcp,us-east4,"Ashburn, Virginia, North America",39.0437192,-77.4874899,0.0,0.0,,,0.0,0.0,12,14,3,0.9321111099553104,1.0,0.7962049529094938,0.07784284442869134,0.0,65.3951613582852,93.21111099553104,-27.81594963724585
Sakurai,Sakurai,34.5189,135.8519,Japan,JP,JPN,Nara,,54346.0,1392404351,79,34.95624207737683,98.26737353105142,gcp,asia-northeast2,"Osaka, Japan, APAC",34.6198813,135.490357,0.0,0.0,,,0.0,0.0,10,10,3,0.9942882784046817,1.0,0.705015029626574,0.003075375408985818,0.0,65.39288721172066,99.42882784046817,-34.03594062874751
Kāmāreddipet,Kamareddipet,18.3167,78.35,India,IN,IND,Telangana,,80315.0,1356010343,6,107.12274994902594,94.78477650861244,aws,ap-south-2,Asia Pacific (Hyderabad),17.360589,78.4740613,0.0,0.0,,,0.0,0.0,8,9,3,0.9824965360155312,1.0,0.6769924925288455,0.06252836893205876,0.0,65.39267436253482,98.24965360155312,-32.8569792390183
Sirsilla,Sirsilla,18.38,78.83,India,IN,IND,Telangana,,83186.0,1356360144,6,119.44842110402716,94.20242981236122,aws,ap-south-2,Asia Pacific (Hyderabad),17.360589,78.4740613,0.0,0.0,,,0.0,0.0,7,9,3,0.980482566608952,1.0,0.6769924925288455,0.06787458433027783,0.0,65.39230881724494,98.0482566608952,-32.65594784365027
Ocala,Ocala,29.178,-82.1511,United States,US,USA,Florida,,169383.0,1840015067,103,491.0742326001332,78.22842477587812,gcp,us-east1,"Moncks Corner, South Carolina, North America",33.1973235,-80.01094796275407,0.0,0.0,,,0.0,0.0,5,11,3,0.9197602736290172,1.0,0.7305976016521668,0.1761129254189715,0.0,65.39106885122776,91.97602736290172,-26.58495851167396
Tucson,Tucson,32.1545,-110.8782,United States,US,USA,Arizona,,888486.0,1840022101,33,182.1822600440224,91.293451136622,azure,westus3,"Phoenix, West US 3, US",33.448376,-112.074036,0.0,0.0,,,0.0,0.0,5,9,2,0.9702320876862566,0.6666666666666666,0.6769924925288455,0.42839071899262987,0.0,65.3900316802724,97.02320876862565,-31.63317708835325
Tōgane,Togane,35.56,140.3661,Japan,JP,JPN,Chiba,,57560.0,1392535901,44,55.50911539750464,97.26270613313702,azure,japaneast,"Tokyo, Saitama, Japan East, Asia Pacific",35.68,139.77,0.0,0.0,,,0.0,0.0,6,10,3,0.9909300143747964,1.0,0.705015029626574,0.011821155098546136,0.0,65.38974334586865,99.09300143747964,-33.70325809161099
Magé,Mage,-22.6528,-43.0408,Brazil,BR,BRA,Rio de Janeiro,,246433.0,1076385139,75,32.63031192288061,98.38172153317964,azure,brazilsoutheast,"Rio, Brazil Southeast, South America",-22.90278,-43.2075,0.0,0.0,,,0.0,0.0,4,4,3,0.9946683268510573,1.0,0.4731974454383393,0.23318317488633197,0.0,65.38244237891236,99.46683268510573,-34.08439030619337
Cagliari,Cagliari,39.2167,9.1167,Italy,IT,ITA,Sardegna,admin,154106.0,1380685705,17,694.7164035365331,70.65521946785017,aws,eu-south-1,EU (Milan),45.4641943,9.1896346,0.0,0.0,,,0.0,0.0,8,16,3,0.8864858906767458,1.0,0.8330046822133071,0.16172515850873695,0.0,65.3803832379005,88.64858906767458,-23.268205829774075
Hekinan,Hekinan,34.8833,137.0,Japan,JP,JPN,Aichi,,72480.0,1392819275,63,138.39011989595323,93.3144643179172,azure,japanwest,"Osaka, Japan West, Asia Pacific",34.6939,135.5022,0.0,0.0,,,0.0,0.0,10,10,3,0.9773875625807051,1.0,0.705015029626574,0.04690410417874695,0.0,65.37428951030802,97.73875625807051,-32.36446674776249
Jurong,Jurong,31.9579,119.1595,China,CN,CHN,Jiangsu,,617706.0,1156897463,76,886.9276971202044,64.18094356501216,gcp,asia-east1,"Changhua County, Taiwan, APAC",24.0755667,120.5444667,0.0,0.0,,,0.0,0.0,6,10,3,0.8550792711094657,1.0,0.705015029626574,0.37305880785144996,0.0,65.37427840654898,85.50792711094657,-20.133648704397586
Guntakal,Guntakal,15.17,77.38,India,IN,IND,Andhra Pradesh,,126270.0,1356140724,6,270.12805884222604,87.36599699549693,aws,ap-south-2,Asia Pacific (Hyderabad),17.360589,78.4740613,0.0,0.0,,,0.0,0.0,7,9,3,0.9558620671016265,1.0,0.6769924925288455,0.1314008954927482,0.0,65.36038350438898,95.58620671016264,-30.225823205773665
Chichibu,Chichibu,35.9917,139.0856,Japan,JP,JPN,Saitama,,59101.0,1392105662,78,69.78031118309173,96.57114884389269,gcp,asia-northeast1,"Tokyo, Japan, APAC",35.6828387,139.7594549,0.0,0.0,,,0.0,0.0,7,10,3,0.9885981533875907,1.0,0.705015029626574,0.015842664635805862,0.0,65.35679154943932,98.85981533875908,-33.503023789319755
Chiayi,Chiayi,23.48,120.4497,Taiwan,TW,TWN,Chiayi,admin,268622.0,1158867217,76,66.92247835053449,96.7092395803786,gcp,asia-east1,"Changhua County, Taiwan, APAC",24.0755667,120.5444667,0.0,0.0,,,0.0,0.0,4,4,3,0.9890651127784027,1.0,0.4731974454383393,0.2463065539164329,0.0,65.3551645014577,98.90651127784027,-33.55134677638257
Osmānābād,Osmanabad,18.1667,76.05,India,IN,IND,Mahārāshtra,,112085.0,1356005329,42,229.49869840813,89.15895935430159,azure,centralindia,"Pune, Central India, Asia Pacific",18.5822,73.9197,0.0,0.0,,,0.0,0.0,8,9,3,0.9625007554046117,1.0,0.6769924925288455,0.11326206570670637,0.0,65.35384858971776,96.25007554046117,-30.89622695074341
Hachimanchō,Hachimancho,40.51,141.54,Japan,JP,JPN,Aomori,,239046.0,1392220933,78,558.8767017475684,75.62083459619353,gcp,asia-northeast1,"Tokyo, Japan, APAC",35.6828387,139.7594549,0.0,0.0,,,0.0,0.0,6,10,3,0.9086815991425528,1.0,0.705015029626574,0.22855058638251968,0.0,65.35074820583851,90.86815991425527,-25.51741170841676
Hidaka,Hidaka,35.9078,139.3392,Japan,JP,JPN,Saitama,,54728.0,1392984149,78,45.41360836153587,97.754905505651,gcp,asia-northeast1,"Tokyo, Japan, APAC",35.6828387,139.7594549,0.0,0.0,,,0.0,0.0,7,10,3,0.9925795831535397,1.0,0.705015029626574,0.004141554790414233,0.0,65.34053209239642,99.25795831535396,-33.917426222957545
Butterworth,Butterworth,5.3942,100.3664,Malaysia,MY,MYS,Pulau Pinang,,821652.0,1458469233,83,583.2974293836664,74.7030910870171,gcp,asia-southeast1,"Jurong West, Singapore, APAC",1.3434392,103.7058663,0.0,0.0,,,0.0,0.0,3,5,3,0.9046913419202879,1.0,0.5268025545616606,0.4164870351696413,0.0,65.33699752278105,90.46913419202879,-25.132136669247743
Nantou,Nantou,23.9167,120.6833,Taiwan,TW,TWN,Nantou,admin,165000.0,1158112865,76,22.604502338170573,98.87613793234428,gcp,asia-east1,"Changhua County, Taiwan, APAC",24.0755667,120.5444667,0.0,0.0,,,0.0,0.0,4,5,3,0.9963065073221956,1.0,0.5268025545616606,0.17212227301257352,0.0,65.33613270650133,99.63065073221956,-34.29451802571823
Cotia,Cotia,-23.6039,-46.9189,Brazil,BR,BRA,São Paulo,,229548.0,1076098590,99,15.204623662192672,99.24265126510066,gcp,southamerica-east1,"Osasco, São Paulo, Brazil, South America",-23.5324859,-46.7916801,0.0,0.0,,,0.0,0.0,4,4,3,0.9975156203253256,1.0,0.4731974454383393,0.22237913350118746,0.0,65.33427349710593,99.75156203253256,-34.417288535426636
Hamura,Hamura,35.7672,139.3111,Japan,JP,JPN,Tōkyō,,53970.0,1392153436,78,41.54640540322759,97.94410739711066,gcp,asia-northeast1,"Tokyo, Japan, APAC",35.6828387,139.7594549,0.0,0.0,,,0.0,0.0,7,10,3,0.993211469916469,1.0,0.705015029626574,0.002018598534261654,0.0,65.3339632190713,99.3211469916469,-33.987183772575605
Anshun,Anshun,26.2456,105.934,China,CN,CHN,Guizhou,,2297612.0,1156415948,1,943.2497460514696,62.39875435786026,aws,ap-east-1,Asia Pacific (Hong Kong),22.2793278,114.1628131,0.0,0.0,,,0.0,0.0,3,5,3,0.8458764551299562,1.0,0.5268025545616606,0.5730134035674402,0.0,65.33229757713477,84.58764551299562,-19.255347935860854
Nobeoka,Nobeoka,32.5822,131.665,Japan,JP,JPN,Miyazaki,,117711.0,1392666259,65,374.8718340763405,82.90822465240291,azure,koreasouth,"Busan, Korea South, Asia Pacific",35.1796,129.0756,0.0,0.0,,,0.0,0.0,10,11,3,0.9387473188499244,1.0,0.7305976016521668,0.12071684208200859,0.0,65.3196094100096,93.87473188499243,-28.555122474982824
Yuma,Yuma,32.5992,-114.5488,United States,US,USA,Arizona,,142847.0,1840021998,33,249.28905207756327,88.28106630178482,azure,westus3,"Phoenix, West US 3, US",33.448376,-112.074036,0.0,0.0,,,0.0,0.0,7,8,3,0.9592670842856601,1.0,0.646015014942309,0.15017702607906727,0.0,65.31356398674704,95.92670842856602,-30.613144441818974
Haiphong,Haiphong,20.8,106.6667,Vietnam,VN,VNM,Hải Phòng,admin,2103500.0,1704000623,1,792.473847565926,67.28472635324356,aws,ap-east-1,Asia Pacific (Hong Kong),22.2793278,114.1628131,0.0,0.0,,,0.0,0.0,3,4,3,0.8705126832899264,1.0,0.4731974454383393,0.559577528568544,0.0,65.3121319417003,87.05126832899263,-21.739136387292334
Montesilvano,Montesilvano,42.5119,14.1373,Italy,IT,ITA,Abruzzo,,54194.0,1380908377,17,514.0720577057201,77.3340350697809,aws,eu-south-1,EU (Milan),45.4641943,9.1896346,0.0,0.0,,,0.0,0.0,10,21,3,0.9160025134553071,1.0,0.9088100767170803,0.002649050805759491,0.0,65.31198745105488,91.60025134553071,-26.288263894475833
St. Peters,St. Peters,38.7824,-90.6061,United States,US,USA,Missouri,,58212.0,1840009721,57,403.79894598446657,81.7177072179192,azure,centraluseuap,", Central US EUAP, US",41.5908,-93.6208,0.0,0.0,,,0.0,0.0,9,17,3,0.9340207349851569,1.0,0.8498100620328151,0.013535647216984366,0.0,65.31101503815327,93.40207349851569,-28.09105846036242
Shimotsuke,Shimotsuke,36.3872,139.8422,Japan,JP,JPN,Tochigi,,59404.0,1392034271,78,78.67411208970533,96.14265998807696,gcp,asia-northeast1,"Tokyo, Japan, APAC",35.6828387,139.7594549,0.0,0.0,,,0.0,0.0,7,10,3,0.9871449389776916,1.0,0.705015029626574,0.016621048662431234,0.0,65.31033873344273,98.71449389776916,-33.404155164326426
Funato,Funato,34.2564,135.3111,Japan,JP,JPN,Wakayama,,53714.0,1392061989,79,43.63257477801528,97.84199666279422,gcp,asia-northeast2,"Osaka, Japan, APAC",34.6198813,135.490357,0.0,0.0,,,0.0,0.0,10,10,3,0.9928705975010905,1.0,0.705015029626574,0.0012948696889804891,0.0,65.30947238977693,99.28705975010905,-33.97758736033212
Somerville,Somerville,42.3908,-71.1013,United States,US,USA,Massachusetts,,81360.0,1840003123,11,398.48309937704863,81.93519552183683,aws,ca-central-1,Canada (Central),45.5031824,-73.5698065,1.0,31.0,,,0.0,0.0,11,14,3,0.934889324800898,1.0,0.7962049529094938,0.06449611222467594,0.0,65.30608896904847,93.4889324800898,-28.182843511041327
Itaboraí,Itaborai,-22.7475,-42.8558,Brazil,BR,BRA,Rio de Janeiro,,242543.0,1076964860,75,39.96702512625006,98.02148344037336,azure,brazilsoutheast,"Rio, Brazil Southeast, South America",-22.90278,-43.2075,0.0,0.0,,,0.0,0.0,4,4,3,0.9934695348542065,1.0,0.4731974454383393,0.23076123261114723,0.0,65.29816156491057,99.34695348542066,-34.048791920510084
Godhra,Godhra,22.7755,73.6149,India,IN,IND,Gujarāt,,161925.0,1356386046,54,366.6654831371465,83.2491105250356,azure,jioindiawest,"Jamnagar, Jio India West, Asia Pacific",22.470701,70.05773,0.0,0.0,,,0.0,0.0,8,9,3,0.9400882064594793,1.0,0.6769924925288455,0.16925874469103,0.0,65.2972968166773,94.00882064594794,-28.711523829270632
Zhubei,Zhubei,24.8333,121.0,Taiwan,TW,TWN,Hsinchu,admin,200000.0,1158417233,76,96.04737865571846,95.31112082461686,gcp,asia-east1,"Changhua County, Taiwan, APAC",24.0755667,120.5444667,0.0,0.0,,,0.0,0.0,4,5,3,0.9843062110158395,1.0,0.5268025545616606,0.20140446421506286,0.0,65.29535372228443,98.43062110158395,-33.13526737929952
Salerno,Salerno,40.6806,14.7597,Italy,IT,ITA,Campania,minor,133970.0,1380863448,17,697.9443972024227,70.54127414582797,aws,eu-south-1,EU (Milan),45.4641943,9.1896346,0.0,0.0,,,0.0,0.0,6,17,3,0.8859584483650064,1.0,0.8498100620328151,0.1404110961477811,0.0,65.2916553073092,88.59584483650063,-23.304189529191433
Stonecrest,Stonecrest,33.6842,-84.1372,United States,US,USA,Georgia,,54903.0,1840029466,103,386.6454186688407,82.42159490366927,gcp,us-east1,"Moncks Corner, South Carolina, North America",33.1973235,-80.01094796275407,0.0,0.0,,,0.0,0.0,9,17,3,0.9368235583603833,1.0,0.8498100620328151,0.0046275046529119625,0.0,65.28950583470125,93.68235583603834,-28.392850001337095
Mihara,Mihara,34.4581,133.0039,Japan,JP,JPN,Hiroshima,,89972.0,1392428941,79,228.4527050136876,89.20560139132408,gcp,asia-northeast2,"Osaka, Japan, APAC",34.6198813,135.490357,0.0,0.0,,,0.0,0.0,10,10,3,0.9626716668843517,1.0,0.705015029626574,0.07981125190585725,0.0,65.27926089836052,96.26716668843517,-30.98790579007465
