city_id,city,city_ascii,country,iso2,iso3,admin_name,population,dist_km_nearest_region,access_score,nearest_provider,nearest_region,nearest_location_name,observed_ai_works_recent,priority_rank,priority_rule,priority_distance_threshold_km
1608420317,Talibon,Talibon,Philippines,PH,PHL,Bohol,66969.0,1601.9005400383778,44.89021830845935,gcp,asia-east1,"Changhua County, Taiwan, APAC",0.0,1619,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1608683274,Don Carlos,Don Carlos,Philippines,PH,PHL,Bukidnon,66959.0,1883.4858369068725,38.9947595869029,gcp,asia-east1,"Changhua County, Taiwan, APAC",0.0,1620,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1608361656,Camalig,Camalig,Philippines,PH,PHL,Albay,66904.0,1256.6466111188922,53.348554377611435,gcp,asia-east1,"Changhua County, Taiwan, APAC",0.0,1621,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1466006801,Kati,Kati,Mali,ML,MLI,Koulikoro,66895.0,3105.934638011353,21.161909987633848,gcp,europe-southwest1,"Madrid, Spain, Europe",0.0,1622,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1218236950,Pelileo,Pelileo,Ecuador,EC,ECU,Tungurahua,66836.0,3663.7893636008002,16.010992285386084,gcp,southamerica-west1,"Santiago, Chile, South America",0.0,1623,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1324750427,Kissidougou,Kissidougou,Guinea,GN,GIN,Faranah,66815.0,3529.631254480845,17.12183515749503,gcp,europe-southwest1,"Madrid, Spain, Europe",0.0,1624,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1231573651,Āksum,Aksum,Ethiopia,ET,ETH,Tigray,66800.0,1817.0834825450904,40.311163669206756,aws,me-south-1,Middle East (Bahrain),0.0,1625,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1608129711,Pigcawayan,Pigcawayan,Philippines,PH,PHL,Cotabato,66796.0,1912.664989884233,38.429972579022,gcp,asia-east1,"Changhua County, Taiwan, APAC",0.0,1626,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1288943371,Bolgatanga,Bolgatanga,Ghana,GH,GHA,Upper East,66685.0,3306.7519920976038,19.140264208746725,gcp,europe-southwest1,"Madrid, Spain, Europe",0.0,1627,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1434550258,Nālūt,Nalut,Libya,LY,LBY,Nālūt,66609.0,1518.2300579280272,46.80804814383814,aws,eu-south-1,EU (Milan),0.0,1628,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1288563374,Aflao,Aflao,Ghana,GH,GHA,Volta,66546.0,3844.903998016588,14.624792236705714,gcp,europe-southwest1,"Madrid, Spain, Europe",0.0,1629,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1320977472,Zacapa,Zacapa,Guatemala,GT,GTM,Zacapa,66423.0,1851.204067839264,39.62927655564747,azure,southcentralus,"Texas, South Central US, US",0.0,1630,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1222934169,Cuscatancingo,Cuscatancingo,El Salvador,SV,SLV,San Salvador,66400.0,1990.111286686256,36.97028724679266,azure,southcentralus,"Texas, South Central US, US",0.0,1631,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1608472411,Brookes Point,Brookes Point,Philippines,PH,PHL,Palawan,66374.0,1549.070960795351,46.091783664877845,azure,eastasia,"Hong Kong, East Asia, Asia Pacific",0.0,1632,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1643757173,Slavyansk-na-Kubani,Slavyansk-na-Kubani,Russia,RU,RUS,Krasnodarskiy Kray,66285.0,1469.8520073168515,47.95409419374116,gcp,europe-central2,"Warsaw, Poland, Europe",0.0,1633,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1608073409,San Fernando,San Fernando,Philippines,PH,PHL,Cebu,66280.0,1582.307553375134,45.332146170088365,gcp,asia-east1,"Changhua County, Taiwan, APAC",0.0,1634,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1643671200,Belogorsk,Belogorsk,Russia,RU,RUS,Amurskaya Oblast’,66183.0,1489.2057374108597,47.492286922792886,aws,ap-northeast-2,Asia Pacific (Seoul),0.0,1635,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1604886582,Ilo,Ilo,Peru,PE,PER,Moquegua,66118.0,1756.9900441863035,41.540762076857575,gcp,southamerica-west1,"Santiago, Chile, South America",0.0,1636,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1148101824,Goz-Beida,Goz-Beida,Chad,TD,TCD,Sila,66107.0,2551.017267106464,27.928887639455656,aws,il-central-1,Middle East (Israel) - ???,0.0,1637,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1608191259,Esperanza,Esperanza,Philippines,PH,PHL,Sultan Kudarat,66095.0,1976.203500254781,37.22827063131594,gcp,asia-east1,"Changhua County, Taiwan, APAC",0.0,1638,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1764305340,Ban Suan,Ban Suan,Thailand,TH,THA,Chon Buri,66092.0,1369.6387572891329,50.418128725858566,gcp,asia-southeast1,"Jurong West, Singapore, APAC",0.0,1639,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1076598708,União dos Palmares,Uniao dos Palmares,Brazil,BR,BRA,Alagoas,66017.0,1708.4246801885438,42.561830155968785,azure,brazilsoutheast,"Rio, Brazil Southeast, South America",0.0,1640,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1608414270,Pinamungahan,Pinamungahan,Philippines,PH,PHL,Cebu,65955.0,1568.8426947321998,45.63837130304855,gcp,asia-east1,"Changhua County, Taiwan, APAC",0.0,1641,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1404464692,Garissa,Garissa,Kenya,KE,KEN,Garissa,65881.0,3066.600460230855,21.582222769067176,azure,southafricanorth,"Johannesburg, South Africa North, Africa",0.0,1642,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1608289249,Lupon,Lupon,Philippines,PH,PHL,Davao Oriental,65785.0,1997.0144166432956,36.84290186401381,gcp,asia-east1,"Changhua County, Taiwan, APAC",0.0,1643,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1231130720,Sodo,Sodo,Ethiopia,ET,ETH,YeDebub Bihēroch Bihēreseboch na Hizboch,65737.0,2533.5143270579147,28.174379101217102,aws,me-south-1,Middle East (Bahrain),0.0,1644,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1076791382,Cabedelo,Cabedelo,Brazil,BR,BRA,Paraíba,65634.0,1984.278883839209,37.078257405938814,azure,brazilsoutheast,"Rio, Brazil Southeast, South America",0.0,1645,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1320960166,San Marcos,San Marcos,Guatemala,GT,GTM,San Marcos,65571.0,1747.7946345427586,41.73219397541861,azure,southcentralus,"Texas, South Central US, US",0.0,1646,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1320250670,San Francisco El Alto,San Francisco El Alto,Guatemala,GT,GTM,Totonicapán,65521.0,1763.6056133114419,41.40358119282728,azure,southcentralus,"Texas, South Central US, US",0.0,1647,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1643447458,Beloretsk,Beloretsk,Russia,RU,RUS,Bashkortostan,65477.0,1991.7303497019507,36.940370745221315,gcp,europe-north1,"Hamina, Finland, Europe",0.0,1648,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1076569458,Icó,Ico,Brazil,BR,BRA,Ceará,65456.0,1893.072021912011,38.80830130994222,azure,brazilsoutheast,"Rio, Brazil Southeast, South America",0.0,1649,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1643130656,Ishimbay,Ishimbay,Russia,RU,RUS,Bashkortostan,65422.0,1897.291361626209,38.726514907950865,gcp,europe-north1,"Hamina, Finland, Europe",0.0,1650,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1800731885,Masaka,Masaka,Uganda,UG,UGA,Masaka,65373.0,2849.5660581914376,24.056065220863427,azure,southafricanorth,"Johannesburg, South Africa North, Africa",0.0,1651,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1608957509,Roxas,Roxas,Philippines,PH,PHL,Palawan,65358.0,1435.6209052239547,48.78191907164767,azure,eastasia,"Hong Kong, East Asia, Asia Pacific",0.0,1652,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1643194296,Kungur,Kungur,Russia,RU,RUS,Permskiy Kray,65284.0,1722.990250524993,42.252987473088176,gcp,europe-north1,"Hamina, Finland, Europe",0.0,1653,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1562868655,Birnin Konni,Birnin Konni,Niger,NE,NER,Tahoua,65252.0,3086.6042671976593,21.367435391855143,gcp,europe-southwest1,"Madrid, Spain, Europe",0.0,1654,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1231777741,Debre Birhan,Debre Birhan,Ethiopia,ET,ETH,Āmara,65231.0,2167.6626320635874,33.829691714152,aws,me-south-1,Middle East (Bahrain),0.0,1655,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1643027966,Zarechnyy,Zarechnyy,Russia,RU,RUS,Penzenskaya Oblast’,65156.0,1358.001763815048,50.71234155147557,gcp,europe-north1,"Hamina, Finland, Europe",0.0,1656,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1218253183,Daule,Daule,Ecuador,EC,ECU,Guayas,65145.0,3642.6746562070516,16.180921416628642,gcp,southamerica-west1,"Santiago, Chile, South America",0.0,1657,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1643798395,Ishim,Ishim,Russia,RU,RUS,Tyumenskaya Oblast’,65142.0,2472.7875951214983,29.042967995250198,gcp,europe-north1,"Hamina, Finland, Europe",0.0,1658,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1643980922,Buynaksk,Buynaksk,Russia,RU,RUS,Dagestan,65080.0,1655.495662666729,43.703244957045754,aws,il-central-1,Middle East (Israel) - ???,0.0,1659,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1320011938,Esquipulas,Esquipulas,Guatemala,GT,GTM,Chiquimula,65000.0,1902.4900757403238,38.62598158573569,azure,southcentralus,"Texas, South Central US, US",0.0,1660,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1894777820,Solwezi,Solwezi,Zambia,ZM,ZMB,North-Western,65000.0,1518.487539776217,46.80202242035195,azure,southafricanorth,"Johannesburg, South Africa North, Africa",0.0,1661,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1862107520,Caripito,Caripito,Venezuela,VE,VEN,Monagas,64955.0,3094.8858972746357,21.279139728218855,gcp,us-east1,"Moncks Corner, South Carolina, North America",0.0,1662,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1643040094,Gukovo,Gukovo,Russia,RU,RUS,Rostovskaya Oblast’,64869.0,1421.7804028743979,49.12067298358387,gcp,europe-central2,"Warsaw, Poland, Europe",0.0,1663,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1170499821,Marinilla,Marinilla,Colombia,CO,COL,Antioquia,64645.0,3043.3501560582827,21.834583414476857,gcp,us-east1,"Moncks Corner, South Carolina, North America",0.0,1664,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1724630905,Arrecife,Arrecife,Spain,ES,ESP,Canary Islands,64645.0,1557.4030885746627,45.90016178099767,gcp,europe-southwest1,"Madrid, Spain, Europe",0.0,1665,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1180236070,Binga,Binga,Congo (Kinshasa),CD,COD,Mongala,64639.0,3236.963328394243,19.819940399152127,azure,southafricanorth,"Johannesburg, South Africa North, Africa",0.0,1666,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1484904308,Santo Domingo Tehuantepec,Santo Domingo Tehuantepec,Mexico,MX,MEX,Oaxaca,64639.0,1493.8452862532636,47.38224321801944,azure,southcentralus,"Texas, South Central US, US",0.0,1667,zero_observed_ai_and_distance_gte_q75,1251.605776472141
