k,100,200,319,500,1000,2000,5000
3,0.9523809523809523,1.0,1.0,1.0,1.0,1.0,1.0
4,0.8095238095238095,0.9047619047619048,1.0,1.0,1.0,1.0,1.0
5,0.6666666666666666,0.7619047619047619,0.7619047619047619,0.8571428571428571,1.0,0.9523809523809523,1.0
6,0.47619047619047616,0.7142857142857143,0.6190476190476191,0.7142857142857143,0.8571428571428571,0.7619047619047619,0.9523809523809523
8,0.19047619047619047,0.5714285714285714,0.47619047619047616,0.5238095238095238,0.7142857142857143,0.2857142857142857,0.6666666666666666
10,0.09523809523809523,0.23809523809523808,0.23809523809523808,0.42857142857142855,0.6190476190476191,0.23809523809523808,0.23809523809523808
12,0.047619047619047616,0.19047619047619047,0.09523809523809523,0.2857142857142857,0.3333333333333333,0.23809523809523808,0.0
16,0.0,0.09523809523809523,0.09523809523809523,0.19047619047619047,0.19047619047619047,0.23809523809523808,0.0
20,0.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.19047619047619047,0.0
24,0.0,0.0,0.0,0.0,0.09523809523809523,0.14285714285714285,0.0
32,0.0,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
