subset,term,event_time,coef,se,p,ci_low,ci_high
all,lead_le5,-5,-0.02940404540402819,0.2639537614276246,0.9113003725822956,-0.5467534178021725,0.4879453269941161
all,lead_4,-4,-0.3253285328089559,0.1505086269686528,0.03065461675809996,-0.6203254416675155,-0.030331623950396402
all,lead_3,-3,-0.25986693830078694,0.2055401600660699,0.20611798133258685,-0.662725652030284,0.14299177542871006
all,lead_2,-2,-0.19275414016417747,0.111904817256945,0.08498206810582812,-0.41208758198778966,0.02657930165943473
all,event_0,0,-0.026277818763018934,0.09005873592798702,0.7704507557357805,-0.2027929411818735,0.15023730365583562
all,lag_1,1,-0.024285334183967916,0.13970054683052305,0.8619923826119904,-0.29809840597179305,0.24952773760385724
all,lag_2,2,-0.17757793915540332,0.20798291022854587,0.39321013804205796,-0.5852244432033532,0.23006856489254657
all,lag_3,3,-0.04402843139997155,0.1194801430231711,0.712500453278389,-0.2782095117253869,0.1901526489254438
all,lag_4,4,-0.3331178340300871,0.18225488138863677,0.06758586554518024,-0.6903374015518151,0.024101733491640964
all,lag_ge5,5,-0.8750622622427197,0.2475948870816303,0.00040893388257958764,-1.360348240922715,-0.38977628356272426
multi_country,lead_le5,-5,0.05383972273911286,0.413932865766658,0.8965120486464767,-0.7574686941635368,0.8651481396417625
multi_country,lead_4,-4,-0.525761966489422,0.26303683508030135,0.045628376274146225,-1.0413141632468126,-0.01020976973203136
multi_country,lead_3,-3,-0.4367183830658305,0.30760393975291833,0.15568266347603066,-1.0396221049815504,0.16618533884988945
multi_country,lead_2,-2,-0.29389427468795914,0.2102185674495967,0.16210061488588157,-0.7059226668891687,0.11813411751325037
multi_country,event_0,0,-0.15100424716171124,0.19405839237347128,0.4364875478090047,-0.5313586962137149,0.22935020189029248
multi_country,lag_1,1,-0.05694993196811271,0.2648383011865156,0.8297387711397224,-0.5760330022936833,0.46213313835745784
multi_country,lag_2,2,-0.4311403314956934,0.29608160092613484,0.14535012349263904,-1.0114602693109176,0.14917960631953087
multi_country,lag_3,3,-0.12854488273342318,0.17151767037269713,0.4535826354576302,-0.46471951666390954,0.20762975119706317
multi_country,lag_4,4,-0.4375413447273784,0.26274168293415384,0.09585472475448636,-0.9525150432783199,0.07743235382356317
multi_country,lag_ge5,5,-1.0615530921366,0.31357949904848464,0.0007110676820968011,-1.67616891027163,-0.44693727400157024
